Protocol,Vector,Score,RubricLevel,Justification,Evidence
Polymarket,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)","UMA optimistic oracle resolves Polymarket markets; token-weighted disputes give rho approx 0.2-0.4 at $7M, so a whale can force an incorrect resolution as in the March 2025 Ukraine-bet dispute.","[91,108,139]"
Polymarket,A2 Data source,2,"Specified, edge cases handled by disputes","Resolution sources are specified per market but can rest on a single editable source; the November 2025 ISW map edit preceded a payout, showing source integrity is not guaranteed.",[38]
Polymarket,A3 Resolution front-running,1,"Resolution tx public, trading open","On-chain CTF settlement means the UMA resolution transaction is visible in the public mempool while CLOB trading stays open, so searchers can capture the price-to-0/1 gap.",Appendix A rubric + architecture
Polymarket,A4 Governance,2,Snapshot voting + >24h timelock,UMA governance is token-weighted but sits behind Snapshot-style voting and timelocks rather than being directly flash-loan exposed on the market contracts.,Appendix A rubric + architecture
Polymarket,A5 Wash trading,2,Fee/stake structure or behavioral detection,"No KYC on trading, but fee structure and behavioral detection exist; Sirolly et al. estimate ~25% of volume is artificial, consistent with partial rather than full mitigation.",[128]
Polymarket,A6 Outcome manipulation,2,"Curated creation, limited surveillance","Creation is curated (operator-listed markets) with limited insider surveillance rather than full monitoring, deterring but not eliminating outcome manipulation.",Appendix A rubric + architecture
Polymarket,A7 Price manipulation,2,Moderate liquidity or position monitoring,"Deep CLOB liquidity and position monitoring attenuate price manipulation, but there are no hard position limits, giving partial mitigation.",Appendix A rubric + architecture
Polymarket,A8 MEV,2,"Off-chain matching, not eliminated","Off-chain order matching reduces on-chain sandwich surface, but settlement is on-chain and order flow leaks to the operator, so MEV is reduced not eliminated.",Appendix A rubric + architecture
Polymarket,A9 SC bugs,2,"Professional audit, active bounty","Gnosis CTF and the exchange contracts are professionally audited with an active bounty, but none are formally verified.","[70,140]"
Polymarket,A10 Flash loan,2,Partial (short-window TWAP),"Thin FPMM/CLOB pools can be dislocated by a single-block flash loan, but core CTF split/merge conservation limits one-block drain, giving partial resistance.",Appendix A rubric + architecture
Polymarket,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with at most post-hoc analysis and no identity-linked insider surveillance leaves insider trading essentially unmonitored.,Appendix A rubric + architecture
Polymarket,A12 Censorship,1,"Operator can halt, remove, or block","Operator-controlled off-chain matching and discretionary market removal let Polymarket halt, remove, or block markets, so censorship resistance is minimal (score reduced to 1).",Appendix A rubric + architecture
Polymarket,A13 Griefing,2,"Permissionless, deposit deters mass spam","Curated creation plus deposits deter mass spam-market griefing without a formal bond, giving partial mitigation.",Appendix A rubric + architecture
Polymarket,A14 Rug pull,3,"Non-custodial, immutable, audited","Non-custodial CTF collateral with immutable, audited core contracts means users retain custody and there are no admin keys to rug funds.",[70]
Kalshi,A1 Oracle manipulation,3,"rho>1 at $10M (Augur fork, CFTC operator)","As a CFTC-regulated exchange, resolution is by a licensed operator whose corruption cost far exceeds any market-size profit, giving rho>1 (the regulated-operator anchor of the rubric).","[80,146,148]"
Kalshi,A2 Data source,3,"Unambiguous, multi-source verifiable","Contract terms and settlement sources are unambiguous and legally specified under CFTC oversight, satisfying the multi-source/verifiable criterion.","[80,146,148]"
Kalshi,A3 Resolution front-running,N/A,N/A (not applicable),off-chain/centralized architecture: vector not applicable,Appendix A rubric + architecture
Kalshi,A4 Governance,N/A,N/A (not applicable),off-chain/centralized architecture: vector not applicable,Appendix A rubric + architecture
Kalshi,A5 Wash trading,3,KYC/CIP prevents Sybil (Kalshi),"Mandatory KYC/CIP on every account prevents Sybil identities, the rubric's canonical Score-3 condition for wash trading.",[80]
Kalshi,A6 Outcome manipulation,3,Curated + insider surveillance,"Curated, regulator-approved contract listing plus market surveillance obligations deter manipulation of the underlying outcome.","[80,146,148]"
Kalshi,A7 Price manipulation,3,Position limits + deep liquidity,Federally mandated position limits combined with a regulated central book give the position-limits-plus-liquidity Score-3 condition.,"[80,148]"
Kalshi,A8 MEV,N/A,N/A (not applicable),off-chain/centralized architecture: vector not applicable,Appendix A rubric + architecture
Kalshi,A9 SC bugs,N/A,N/A (not applicable),off-chain/centralized architecture: vector not applicable,Appendix A rubric + architecture
Kalshi,A10 Flash loan,N/A,N/A (not applicable),off-chain/centralized architecture: vector not applicable,Appendix A rubric + architecture
Kalshi,A11 Insider,3,Surveillance + enforcement,Regulated-exchange trade surveillance and enforcement of insider-trading rules satisfy the surveillance-plus-enforcement condition.,"[80,146]"
Kalshi,A12 Censorship,1,"Operator can halt, remove, or block","A single licensed operator fully controls listing and access and can halt, remove, or block any market, so censorship resistance is minimal.",Appendix A rubric + architecture
Kalshi,A13 Griefing,N/A,N/A (not applicable),off-chain/centralized architecture: vector not applicable,Appendix A rubric + architecture
Kalshi,A14 Rug pull,2,"Non-custodial core, upgradable + timelock","Custodial fiat balances held by the operator, mitigated by CFTC custody/segregation rules rather than by non-custodial code, giving partial (2) rather than full mitigation.",Appendix A rubric + architecture
Augur v2,A1 Oracle manipulation,3,"rho>1 at $10M (Augur fork, CFTC operator)","The REP fork mechanism lets honest holders migrate to a correct universe, making corruption cost exceed manipulation profit (rho>1); the June-Aug 2026 Augur Fork exercised exactly this path.","[89,111]"
Augur v2,A2 Data source,2,"Specified, edge cases handled by disputes","Reporters resolve against specified market terms with dispute rounds, but the free-text source can be ambiguous, giving partial mitigation.",Appendix A rubric + architecture
Augur v2,A3 Resolution front-running,2,Limited pre-pub. visibility (private + liveness),Multi-round reporting and dispute windows give limited pre-publication visibility of the final outcome rather than an instantly public resolution tx.,Appendix A rubric + architecture
Augur v2,A4 Governance,2,Snapshot voting + >24h timelock,"REP-weighted governance is behind fork/dispute timelocks rather than being directly flash-loan exposed, giving partial mitigation.",Appendix A rubric + architecture
